path	loc	purpose	mutations	paid_api	outputs	last_commit	last_subject	possible_equivalent	recommended_disposition
backend/scripts/add-frontispiece.ts	49	Add the reused FM_001 half-title as the Kindle frontispiece (opening illustration).	db-read,STORAGE-WRITE	-	-		?	-	KEEP + SAFETY LABEL (mutates)
backend/scripts/approve-prep-keys.ts	26	Approve given pageKeys' active renders for book and print-prep them via the	DB-WRITE	-	-		?	-	KEEP + SAFETY LABEL (mutates)
backend/scripts/badge-inventory.ts	55	Badge inventory audit — surveys badgeContext across every active render and	db-read	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/bodymax.ts	17	(no header comment)	db-read	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/build-epub-local.ts	25	Build the Kindle EPUB to LOCAL disk for KDP upload. Read-only against book	file-write	-	outPath		?	-	KEEP as operator tool (read-only)
backend/scripts/build-local2.ts	81	Build Book → LOCAL files. Reuses the production spine order + PDF merge, but	file-write	-	coverPath		?	scripts/build-epub-local.ts	REVIEW vs equivalent
backend/scripts/context-classify.ts	170	PAGE CONTEXT MEASUREMENT — how much readable content each page actually carries.	db-read,file-write	-	out		?	-	KEEP as operator tool (read-only)
backend/scripts/count-printready.ts	11	(no header comment)	db-read	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/cover-add-bleed-band.mjs	47	Add a sacrificial bleed band to the BOTTOM of a cover wrap.	file-write	-	outPath		?	-	KEEP as operator tool (read-only)
backend/scripts/crop-img.ts	10	(no header comment)	file-write	-	dst		?	-	KEEP as operator tool (read-only)
backend/scripts/detect-orphan-headings.ts	21	Detect which entries contain sub-headings (h3/h4) — the blocks that can orphan	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/dl-one.ts	7	(no header comment)	file-write	-	process.argv[3]!		?	-	KEEP as operator tool (read-only)
backend/scripts/download-page-image.ts	53	Downloads a page's rendered image from R2 to a local file so it can be	db-read,file-write	-	outPath		?	-	KEEP as operator tool (read-only)
backend/scripts/embed-heroes-prep.ts	118	STEP 1 of the Kindle hero embed: map heroes → entries, VERIFY (no silent	STORAGE-WRITE,file-write	-	join(HEROES		?	-	KEEP + SAFETY LABEL (mutates)
backend/scripts/exception-table.ts	110	EXCEPTION TABLE — cross-references vision verdicts against OCR evidence.	none	OpenAI	-		?	-	KEEP + SAFETY LABEL (spends)
backend/scripts/fail-stuck.ts	22	Operator tool: mark any stuck RENDERING render rows for the given page keys as	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/fix-bushcraft-subjects.ts	61	APPROVED PROD override (user-authorized 2026-06-14): Chapter 8 bushcraft pages.	DB-WRITE	-	-		?	-	KEEP + SAFETY LABEL (mutates)
backend/scripts/fix-mushroom-subjects.ts	71	APPROVED PROD override (user-authorized 2026-06-14): Chapter 5 mushroom subject	DB-WRITE	-	-		?	-	KEEP + SAFETY LABEL (mutates)
backend/scripts/fix-survival-subjects.ts	56	APPROVED PROD override (user-authorized 2026-06-14): Chapter 7 survival pages.	DB-WRITE	-	-		?	-	KEEP + SAFETY LABEL (mutates)
backend/scripts/fix-terrain-subjects.ts	47	APPROVED PROD override (user-authorized 2026-06-14): Chapter 6 terrain subjects.	DB-WRITE	-	-		?	-	KEEP + SAFETY LABEL (mutates)
backend/scripts/fix-tree-subjects.ts	61	APPROVED PROD override (user-authorized 2026-06-13): reclassify Eastern Hemlock	DB-WRITE	-	-		?	-	KEEP + SAFETY LABEL (mutates)
backend/scripts/generate-error-registry-doc.ts	54	Generates docs/ERROR_REGISTRY.md from backend/src/lib/error-registry.ts.	file-write	-	OUT_PATH		?	-	KEEP as operator tool (read-only)
backend/scripts/get-printpaths.ts	15	(no header comment)	db-read	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/hardcover-blueprint.ts	50	Generate the hardcover wrap: hand the model the CONTENT-PLACEMENT blueprint	STORAGE-WRITE,file-write	OpenAI	join(OUT		?	-	KEEP + SAFETY LABEL (spends and mutates)
backend/scripts/hardcover-compose-only.ts	30	Re-compose the hardcover cover PDF from the already-fixed stored art (barcode	file-write	-	join(OUT		?	-	KEEP as operator tool (read-only)
backend/scripts/hardcover-cover.ts	57	Generate the HARDCOVER full-wrap cover at KDP's exact case-laminate dimensions	STORAGE-WRITE,file-write	OpenAI	pdfPath ; pngPath		?	scripts/hardcover-blueprint.ts ; scripts/hardcover-compose-only.ts	KEEP + SAFETY LABEL (spends and mutates)
backend/scripts/hardcover-deterministic.ts	141	Deterministic hardcover cover: AI paints a CLEAN full-bleed scene (no text);	STORAGE-WRITE,file-write	OpenAI	join(OUT		?	-	KEEP + SAFETY LABEL (spends and mutates)
backend/scripts/hardcover-edit-back.ts	46	Targeted edit: take the APPROVED finished wrap art and move ONLY the back-cover	STORAGE-WRITE,file-write	OpenAI	join(OUT		?	-	KEEP + SAFETY LABEL (spends and mutates)
backend/scripts/hardcover-fix-barcode.ts	43	Remove the AI-painted fake barcode from the hardcover back cover and re-compose	STORAGE-WRITE,file-write	OpenAI	join(OUT		?	-	KEEP + SAFETY LABEL (spends and mutates)
backend/scripts/hardcover-fix-margins.ts	43	Fix back-cover text margins on the hardcover wrap (KDP previewer flagged text	STORAGE-WRITE,file-write	OpenAI	join(OUT		?	-	KEEP + SAFETY LABEL (spends and mutates)
backend/scripts/hardcover-recompose.ts	50	Re-compose the hardcover cover from the already-generated art (no new render):	file-write	-	pdfPath ; pngPath		?	-	KEEP as operator tool (read-only)
backend/scripts/hardcover-shave.ts	44	Deterministic "shave": take the already-generated cover art and scale it INWARD	STORAGE-WRITE,file-write	-	join(OUT		?	-	KEEP + SAFETY LABEL (mutates)
backend/scripts/imgpath.ts	8	(no header comment)	db-read	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/kindle-cover.ts	18	Standalone KINDLE eBook cover for KDP (portrait front panel, 1600x2560 JPEG).	file-write	-	'C:/Users/jovan/Downloads/WILDLANDS_KIND		?	scripts/national-parks-kindle-cover-source.ts ; scripts/national-parks-kindle-cover.ts	REVIEW vs equivalent
backend/scripts/make-newest-active.ts	32	Operator tool: make the NEWEST render for each given page the ACTIVE one	DB-WRITE	-	-		?	-	KEEP + SAFETY LABEL (mutates)
backend/scripts/ocr-screen-summary.ts	112	Summarises an ocr-text-fidelity.ts JSON report into operator-readable bands.	db-read	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/ocr-text-fidelity.ts	398	TIER 1 — LOCAL OCR TEXT-FIDELITY GATE  (beta / calibration prototype)	db-read,file-write	OpenAI	cachePath ; jsonOut		?	scripts/verify-text-fidelity.ts ; src/pipeline/qc-text-fidelity/SPEC_QC_TEXT_FIDELITY.md	KEEP + SAFETY LABEL (spends)
backend/scripts/paperback-cover-pdf.ts	32	CLEAN print-ready PAPERBACK cover wrap PDF for KDP (300 DPI, Premium Color spine).	file-write	-	'C:/Users/jovan/Downloads/WILDLANDS_PAPE		?	scripts/paperback-cover-preview.ts ; scripts/seed-packet-cover-paperback.ts	REVIEW vs equivalent
backend/scripts/print-ids.ts	4	Print all hero ids (space-separated) for the bash driver.	none	-	-		?	scripts/count-printready.ts ; scripts/diag-print-sizes.ts	REVIEW vs equivalent
backend/scripts/printprep-http.ts	52	Server-side batch print-prep: trigger the deployed backend's per-render	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/printprep-local.ts	51	LOCAL print-prep — runs printPrepRender() in-process with the CURRENT branch	db-read	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/promote-prep-image.ts	21	Promote a staged edited image onto a page's active render (update imagePath,	DB-WRITE	-	-		?	-	KEEP + SAFETY LABEL (mutates)
backend/scripts/prove-db-isolation.ts	81	Proves development is isolated from production.	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/r2-cleanup-stray-project.ts	128	Remove the objects an ACCIDENTAL dev intake wrote into production R2.	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/reconcile-canonical-renders.ts	324	Canonical render reconciliation — READ ONLY.	db-read,file-write	-	OUT_REPORT		?	-	KEEP as operator tool (read-only)
backend/scripts/record-visual-verdict.ts	105	Record a HUMAN visual verdict on a specific render, as first-class evidence.	db-read,file-write	-	REPORT_PATH		?	-	KEEP as operator tool (read-only)
backend/scripts/render-all.sh	0	(no header comment)	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/render-batch.ts	67	BATCH RENDER — operator tool. Renders a list of page keys for a project with a	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/render-driver.ts	65	Driver: render every hero, ONE child process per image, with a hard kill-timeout.	file-write	OpenAI	join(OUT		?	-	KEEP + SAFETY LABEL (spends)
backend/scripts/render-health.ts	70	RENDER HEALTH CHECK — operator tool.	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/render-heroes.ts	230	Render the Kindle hero illustrations for operator review.	file-write	OpenAI	fpath ; join(OUT		?	-	KEEP + SAFETY LABEL (spends)
backend/scripts/render-one-page.ts	31	Renders exactly ONE named page, exactly once. No retry loop, no bulk	db-read	-	-		?	src/db/repositories/whole-page-render.repo.ts ; src/pipeline/whole-page-render/SPEC.md	REVIEW vs equivalent
backend/scripts/render-one.ts	34	Render ONE hero by id, then exit. The driver enforces a hard kill-timeout, so	file-write	OpenAI	fpath		?	scripts/_findrenders.ts ; scripts/_qa_rerender.ts	KEEP + SAFETY LABEL (spends)
backend/scripts/render-watchdog.mjs	65	External watchdog for the hero render run. Does NOT trust the render process to	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/rerender-copyright-isbn.ts	79	Re-render the COPYRIGHT page adding the hardcover ISBN line (surgical — no	DB-WRITE,STORAGE-WRITE	-	-		?	-	KEEP + SAFETY LABEL (mutates)
backend/scripts/save-newest.ts	37	Throwaway: read render versions ascending (warms client), save the newest to a fixed path.	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/save-versions.ts	23	Throwaway: read all render versions ascending (warms the client) and save each.	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/scan-terms.ts	88	Terminology standardization scan — report only. Walks the dumped manuscript by	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/select-newest.ts	32	Operator tool: select the NEWEST successful render of each given page key as the	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/set-page-subject.ts	36	Operator tool: give a SINGLE page (e.g. one continuation) its own distinct study	DB-WRITE	-	-		?	src/db/migrations/0010_page_image_subject.sql	KEEP + SAFETY LABEL (mutates)
backend/scripts/three-covers.ts	18	Hardcover = full wrap (back|spine|front), scaled for viewing	file-write	-	'C:/Users/jovan/Downloads/HARDCOVER_WRAP ; 'C:/Users/jovan/Downloads/KINDLE_FRONT.p		?	-	KEEP as operator tool (read-only)
backend/scripts/thumb.ts	5	(no header comment)	file-write	-	process.argv[3]!		?	-	KEEP as operator tool (read-only)
backend/scripts/unapprove-all.ts	30	Operator tool: revert approved pages to PENDING review WITHOUT changing which	DB-WRITE	-	-		?	-	KEEP + SAFETY LABEL (mutates)
backend/scripts/validate-delivery.ts	63	Volume I ships the HARDCOVER wrap. build-local2 also emits a PAPERBACK cover	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/validate-file.ts	20	Validate any interior PDF by path: page count, page size, TrimBox.	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/vision-calibration.ts	192	REVIEWER CALIBRATION — paid, tightly scoped, NOT a QA run.	db-read,file-write	OpenAI	outPath		?	-	KEEP + SAFETY LABEL (spends)
backend/scripts/wait-deploy.ts	18	Poll the deployed /print-prep endpoint for the title page until the new code	none	-	-		?	-	KEEP as operator tool (read-only)
backend/scripts/wait-jpeg.ts	27	Poll the deployed /print-prep for one page until the JPEG code is live (print	none	-	-		?	-	KEEP as operator tool (read-only)
